"id","agency","departure_station","arrival_station","departure_time","arrival_time","departure_date","train_code","coach","on_time","is_cancelled","created_at","updated_at"
"1","Trenitalia","Milano Centrale","Roma Termini","08:30:00","11:30:00","2024-09-15","T1234","8","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"2","Italo","Napoli Centrale","Torino Porta Susa","12:45:00","17:00:00","2024-09-16","I5678","10","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"3","Trenord","Bergamo","Milano Centrale","06:15:00","07:00:00","2024-09-16","TN234","6","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"4","Trenitalia","Venezia Santa Lucia","Firenze Santa Maria Novella","09:00:00","11:45:00","2024-09-16","T3456","9","0","1","2024-09-15 17:35:15","2024-09-15 17:35:15"
"5","Italo","Roma Termini","Verona Porta Nuova","","10:30:00","2024-09-18","I6789","12","1","1","2024-09-15 17:35:15","2024-09-15 17:35:15"
"6","Trenitalia","Bologna Centrale","Napoli Centrale","13:00:00","16:15:00","2024-09-19","T8901","7","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"7","Trenord","Lecco","Milano Porta Garibaldi","14:05:00","15:10:00","2024-09-20","TN567","5","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"8","Italo","Firenze Campo di Marte","Roma Termini","15:20:00","17:45:00","2024-09-21","I7890","11","0","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"9","Trenitalia","Genova Piazza Principe","Milano Centrale","17:10:00","18:45:00","2024-09-22","T3456","9","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"10","Trenord","Brescia","Milano Centrale","05:40:00","06:50:00","2024-09-23","TN890","4","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"11","Italo","Roma Tiburtina","Bologna Centrale","16:00:00","18:15:00","2024-09-24","I2345","13","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"12","Trenitalia","Milano Centrale","Napoli Centrale","09:30:00","13:30:00","2024-09-25","T5678","9","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"13","Italo","Torino Porta Nuova","Venezia Mestre","10:00:00","14:45:00","2024-09-26","I3456","7","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"14","Trenord","Como San Giovanni","Milano Centrale","07:00:00","08:00:00","2024-09-27","TN123","3","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
"15","Trenitalia","Pisa Centrale","Firenze Santa Maria Novella","08:45:00","10:15:00","2024-09-28","T7890","8","1","0","2024-09-15 17:35:15","2024-09-15 17:35:15"
